year,month,day,dep_time,dep_delay,arr_time,arr_delay,carrier,tailnum,flight,origin,dest,air_time,distance,hour,minute
2013,1,9,2013,12,2158,19,UA,N804UA,752,EWR,CLE,75,404,20,13
2013,1,21,2013,-12,2344,15,UA,N517UA,771,JFK,LAX,340,2475,20,13
2013,1,25,2013,103,31,163,UA,N24212,1139,EWR,LAX,347,2454,20,13
2013,10,8,2013,10,2225,-28,UA,N492UA,652,EWR,IAH,173,1400,20,13
2013,10,18,2013,-4,2256,-24,UA,N502UA,771,JFK,LAX,306,2475,20,13
2013,11,5,2013,-2,2306,-6,UA,N441UA,308,EWR,IAH,200,1400,20,13
2013,11,6,2013,-2,2247,-25,UA,N454UA,475,EWR,IAH,195,1400,20,13
2013,11,9,2013,-2,2255,-19,UA,N73283,1466,EWR,IAH,201,1400,20,13
2013,11,13,2013,-2,2238,-34,UA,N417UA,475,EWR,IAH,185,1400,20,13
2013,11,19,2013,13,2154,18,UA,N73283,1498,LGA,ORD,129,733,20,13
2013,12,1,2013,-7,2147,-11,UA,N21723,1464,EWR,CLE,59,404,20,13
2013,12,4,2013,1,2255,-17,UA,N465UA,308,EWR,IAH,199,1400,20,13
2013,12,5,2013,11,2118,-3,UA,N37409,1703,EWR,BOS,35,200,20,13
2013,12,29,2013,43,2334,30,UA,N455UA,252,EWR,SAT,242,1569,20,13
2013,2,17,2013,-3,2313,-13,UA,N421UA,343,EWR,RSW,149,1068,20,13
2013,2,21,2013,168,2310,144,UA,N847UA,385,EWR,PDX,328,2434,20,13
2013,2,24,2013,-7,2146,-13,UA,N25705,1028,EWR,CLE,68,404,20,13
2013,2,25,2013,-7,2303,-14,UA,N462UA,248,EWR,PBI,148,1023,20,13
2013,2,25,2013,-7,2136,-23,UA,N23707,1028,EWR,CLE,66,404,20,13
2013,3,8,2013,256,2122,242,UA,N33284,1116,EWR,BOS,42,200,20,13
2013,3,12,2013,-2,2349,-22,UA,N76522,1244,EWR,SJU,192,1608,20,13
2013,3,14,2013,-2,2259,-21,UA,N801UA,299,EWR,DFW,187,1372,20,13
2013,3,17,2013,-2,2341,-30,UA,N37267,1244,EWR,SJU,183,1608,20,13
2013,3,24,2013,38,2251,18,UA,N24211,1654,EWR,SAN,316,2425,20,13
2013,3,26,2013,-2,2359,-12,UA,N37277,1244,EWR,SJU,199,1608,20,13
2013,3,27,2013,133,2123,103,UA,N842UA,463,EWR,ORD,103,719,20,13
2013,3,31,2013,-2,2313,-8,UA,N838UA,299,EWR,DFW,205,1372,20,13
2013,4,5,2013,-2,2331,-2,UA,N37420,1588,EWR,LAX,331,2454,20,13
2013,4,12,2013,28,2114,-1,UA,N409UA,531,EWR,BOS,32,200,20,13
2013,4,17,2013,-5,2301,-21,UA,N406UA,459,EWR,FLL,149,1065,20,13
2013,4,18,2013,179,2336,211,UA,N513UA,251,LGA,IAH,216,1416,20,13
2013,4,24,2013,33,2315,17,UA,N516UA,436,EWR,SFO,343,2565,20,13
2013,5,22,2013,24,2351,27,UA,N812UA,612,EWR,LAX,318,2454,20,13
2013,6,9,2013,3,2309,-1,UA,N73299,1680,EWR,MIA,143,1085,20,13
2013,6,15,2013,1,2239,-33,UA,N38458,1292,EWR,FLL,129,1065,20,13
2013,6,17,2013,73,2157,66,UA,N77431,1253,EWR,ORD,121,719,20,13
2013,7,6,2013,12,2234,-18,UA,N38257,1611,EWR,IAH,186,1400,20,13
2013,7,7,2013,13,2311,27,UA,N436UA,604,EWR,IAH,195,1400,20,13
2013,7,24,2013,13,2321,14,UA,N39415,1292,EWR,FLL,135,1065,20,13
2013,7,26,2013,34,2309,35,UA,N75435,1555,EWR,SAN,311,2425,20,13
2013,7,29,2013,125,2218,111,UA,N446UA,525,EWR,DEN,211,1605,20,13
2013,7,31,2013,-8,2135,-25,UA,N29717,1464,EWR,CLE,59,404,20,13
2013,8,3,2013,48,2306,45,UA,N511UA,483,EWR,LAX,315,2454,20,13
2013,8,9,2013,103,2340,105,UA,N555UA,389,JFK,SFO,361,2586,20,13
2013,8,16,2013,6,2359,0,UA,N39475,1244,EWR,SJU,196,1608,20,13
2013,8,19,2013,-8,2122,-38,UA,N16713,1464,EWR,CLE,58,404,20,13
2013,8,23,2013,2,2257,3,UA,N87527,1152,EWR,IAH,177,1400,20,13
2013,9,5,2013,43,2245,1,UA,N26210,1037,EWR,LAX,301,2454,20,13
2013,9,12,2013,118,2218,141,UA,N37267,1053,EWR,CLE,78,404,20,13
2013,9,15,2013,13,2234,-16,UA,N35260,1022,EWR,IAH,182,1400,20,13
2013,9,17,2013,8,2255,-14,UA,N79402,1701,EWR,FLL,143,1065,20,13
2013,9,24,2013,13,2122,-9,UA,N78501,1512,LGA,ORD,103,733,20,13
2013,9,27,2013,-4,2251,-29,UA,N518UA,771,JFK,LAX,313,2475,20,13
2013,9,29,2013,13,2311,-17,UA,N76265,1651,EWR,SFO,328,2565,20,13
